annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2017,75101,RES,ELEC,120920.28,126209.88
2017,75102,RES,ELEC,143486.77,150038.01
2017,75103,RES,ELEC,157446.15,164370.36
2017,75104,RES,ELEC,130456.07,135881.49
2017,75105,RES,ELEC,186098.26,193114.38
2017,75106,RES,ELEC,185064.02,191914.95
2017,75107,RES,ELEC,213628.78,220341.91
2017,75108,RES,ELEC,271167.27,280127.18
2017,75109,RES,ELEC,251435.36,261258.74
2017,75110,RES,ELEC,304910.22,317301.68
2017,75111,RES,ELEC,448651.49,467432.25
2017,75112,RES,ELEC,351859.06,364691.35
2017,75113,RES,ELEC,378127.66,388949.17
2017,75114,RES,ELEC,325862.76,336586.71
2017,75115,RES,ELEC,566612.48,583691.33
2017,75116,RES,ELEC,511135.22,524691.58
2017,75117,RES,ELEC,477048.85,494225.66
2017,75118,RES,ELEC,485873.92,505739.08
2017,75119,RES,ELEC,380687.9,393171.26
2017,75120,RES,ELEC,420462.89,435712.3
2017,77001,RES,ELEC,6198.73,6351.37
2017,77002,RES,ELEC,3031.52,3089.84
2017,77003,RES,ELEC,1664.59,1697.22
2017,77004,RES,ELEC,1319.97,1353.82
2017,77005,RES,ELEC,10443.61,10672.28
2017,77006,RES,ELEC,4485.53,4581.07
2017,77007,RES,ELEC,1500.06,1532.66
2017,77008,RES,ELEC,3440.31,3509.62
2017,77009,RES,ELEC,656.81,667.93
2017,77010,RES,ELEC,4094.55,4200.64
2017,77011,RES,ELEC,2322.39,2371.29
2017,77012,RES,ELEC,1104.08,1122.45
2017,77013,RES,ELEC,1808.21,1848.99
2017,77014,RES,ELEC,30078.36,30546.41
2017,77015,RES,ELEC,356.27,361.95
2017,77016,RES,ELEC,4502.83,4580.75
2017,77018,RES,ELEC,21130.61,21598.89
2017,77019,RES,ELEC,1330.71,1356.68
2017,77020,RES,ELEC,2941.98,3006.76
2017,77021,RES,ELEC,780.26,798.23
2017,77022,RES,ELEC,9130.01,9294.88
2017,77023,RES,ELEC,918.68,934.49
2017,77024,RES,ELEC,1358.87,1384.75
2017,77025,RES,ELEC,3279.84,3336.02
2017,77026,RES,ELEC,1420.37,1444.37
2017,77027,RES,ELEC,4674.44,4781.39
2017,77029,RES,ELEC,961.35,984.81
2017,77030,RES,ELEC,2924.26,2978.79
2017,77031,RES,ELEC,3262.58,3325.34
2017,77032,RES,ELEC,3211.81,3275.23
2017,77033,RES,ELEC,805.15,820.9
2017,77034,RES,ELEC,2885.44,2946.32
2017,77035,RES,ELEC,2688.05,2740.36
2017,77036,RES,ELEC,495.87,502.88
2017,77037,RES,ELEC,21023.16,21432.13
2017,77038,RES,ELEC,1915.95,1957.06
2017,77039,RES,ELEC,3826.29,3906.06
2017,77040,RES,ELEC,9867.14,10011.74
2017,77041,RES,ELEC,1458.6,1487.91
2017,77042,RES,ELEC,10743.31,10952.55
2017,77043,RES,ELEC,1596.2,1628.59
2017,77044,RES,ELEC,2727.06,2777.42
2017,77045,RES,ELEC,2667.05,2718.45
2017,77046,RES,ELEC,1682,1723.12
2017,77047,RES,ELEC,4981.71,5099.41
2017,77048,RES,ELEC,10896.63,11096.1
2017,77049,RES,ELEC,3910.02,3996.73
2017,77050,RES,ELEC,2594.42,2644.85
2017,77051,RES,ELEC,9189.51,9431.11
2017,77052,RES,ELEC,1200.27,1223.93
2017,77053,RES,ELEC,50822,52033.19
2017,77054,RES,ELEC,2285.6,2326.38
2017,77055,RES,ELEC,8614.16,8772.21
2017,77056,RES,ELEC,613.34,622.41
2017,77057,RES,ELEC,1486.4,1515.6
2017,77058,RES,ELEC,53722.92,54614.8
2017,77059,RES,ELEC,4156.97,4265.09
2017,77060,RES,ELEC,3459.72,3536.02
2017,77061,RES,ELEC,8369.53,8578.55
2017,77062,RES,ELEC,1842.06,1880
2017,77063,RES,ELEC,4918.43,5030.76
2017,77065,RES,ELEC,4813.86,4898.56
2017,77066,RES,ELEC,1247.84,1272.07
2017,77067,RES,ELEC,21944.26,22225.37
2017,77068,RES,ELEC,1055.58,1077.51
2017,77069,RES,ELEC,7797.4,7939.97
2017,77070,RES,ELEC,5255.62,5374.91
2017,77071,RES,ELEC,3837.9,3909.78
2017,77072,RES,ELEC,2718.03,2775.71
2017,77073,RES,ELEC,2319.01,2363.47
2017,77075,RES,ELEC,4967.45,5083.8
2017,77076,RES,ELEC,2556.36,2600.73
2017,77077,RES,ELEC,3134.32,3198.8
2017,77078,RES,ELEC,4171.92,4253.18
2017,77079,RES,ELEC,15501.43,15798.05
2017,77080,RES,ELEC,880.51,897.91
2017,77081,RES,ELEC,2732.68,2804.29
2017,77082,RES,ELEC,3341.13,3422.2
2017,77083,RES,ELEC,55320.43,56619.33
2017,77084,RES,ELEC,3751.74,3821
2017,77085,RES,ELEC,10388.8,10570.77
2017,77086,RES,ELEC,4614.43,4716.76
2017,77087,RES,ELEC,693.55,709.4
2017,77088,RES,ELEC,8889.09,9115.64
2017,77089,RES,ELEC,4173.95,4272.74
2017,77090,RES,ELEC,751.19,767.15
2017,77091,RES,ELEC,1823.87,1868.91
2017,77093,RES,ELEC,1958.37,1997.24
2017,77094,RES,ELEC,1242.66,1274.31
2017,77095,RES,ELEC,5104.98,5230.67
2017,77096,RES,ELEC,8784.91,8930.5
2017,77097,RES,ELEC,1067.7,1091.05
2017,77098,RES,ELEC,1318.79,1346.52
2017,77099,RES,ELEC,11434.07,11665.51
2017,77100,RES,ELEC,14824.47,15185.86
2017,77101,RES,ELEC,4065.13,4162.66
2017,77102,RES,ELEC,619.66,630.37
2017,77103,RES,ELEC,1021.06,1043.72
2017,77104,RES,ELEC,3084.57,3152.77
2017,77106,RES,ELEC,3670.59,3746.83
2017,77107,RES,ELEC,11736.89,12028.4
2017,77108,RES,ELEC,124390.08,126613.62
2017,77109,RES,ELEC,5882.77,6008.43
2017,77110,RES,ELEC,1378.97,1406.47
2017,77111,RES,ELEC,17150.83,17554.08
2017,77112,RES,ELEC,1036.15,1055.07
2017,77113,RES,ELEC,3802.64,3880.19
2017,77114,RES,ELEC,13144.73,13414.31
2017,77115,RES,ELEC,2324.15,2372.52
2017,77116,RES,ELEC,5250.13,5340.96
2017,77117,RES,ELEC,2589.88,2640.28
2017,77118,RES,ELEC,39975.24,40891.03
2017,77119,RES,ELEC,861.04,877.06
2017,77120,RES,ELEC,2366.05,2422.02
2017,77121,RES,ELEC,13027.82,13317.51
2017,77122,RES,ELEC,52417.46,53467.19
2017,77123,RES,ELEC,2423.18,2480.48
2017,77124,RES,ELEC,4685.53,4752.34
2017,77125,RES,ELEC,4822.06,4925.54
2017,77126,RES,ELEC,5622.22,5737.39
2017,77127,RES,ELEC,5588.37,5723.46
2017,77128,RES,ELEC,7230.14,7392.09
2017,77129,RES,ELEC,2285.53,2331.49
2017,77130,RES,ELEC,1848.35,1887.78
2017,77131,RES,ELEC,48807.83,49929.12
2017,77132,RES,ELEC,10175.4,10415.78
2017,77133,RES,ELEC,1011.65,1033.68
2017,77134,RES,ELEC,682.38,697.24
2017,77135,RES,ELEC,4899.83,5011.38
2017,77136,RES,ELEC,921.68,942.03
2017,77137,RES,ELEC,878.2,896.81
2017,77138,RES,ELEC,2563.4,2624.67
2017,77139,RES,ELEC,18561.62,18962.06
2017,77140,RES,ELEC,1066.06,1089.76
2017,77141,RES,ELEC,3495.41,3562.03
2017,77142,RES,ELEC,18700.08,19145.39
2017,77143,RES,ELEC,15157.67,15567.2
2017,77144,RES,ELEC,1691.47,1729.06
2017,77145,RES,ELEC,2360.07,2413.52
2017,77146,RES,ELEC,11438.81,11761.21
2017,77147,RES,ELEC,2561.01,2609.21
2017,77148,RES,ELEC,6232.54,6378.55
2017,77150,RES,ELEC,1710.63,1754.19
2017,77151,RES,ELEC,1140.28,1162.07
2017,77152,RES,ELEC,49219.99,50118.05
2017,77153,RES,ELEC,31362.55,32128.51
2017,77154,RES,ELEC,3786.57,3865.83
2017,77155,RES,ELEC,10055.4,10271.82
2017,77156,RES,ELEC,2703.39,2745.9
2017,77157,RES,ELEC,1155.46,1178.62
