DATE,CRIT_AIR,NOMBRE
2017/01,EL,6167
2017/02,EL,1507
2017/03,EL,1002
2017/04,EL,693
2017/05,EL,1934
2017/06,EL,1188
2017/07,EL,1481
2017/08,EL,656
2017/09,EL,689
2017/10,EL,744
2017/11,EL,772
2017/12,EL,587
2017/01,Crit'air1,295239
2017/02,Crit'air1,55037
2017/03,Crit'air1,39875
2017/04,Crit'air1,20753
2017/05,Crit'air1,25665
2017/06,Crit'air1,42262
2017/07,Crit'air1,40493
2017/08,Crit'air1,16978
2017/09,Crit'air1,17192
2017/10,Crit'air1,19584
2017/11,Crit'air1,19161
2017/12,Crit'air1,16998
2017/01,Crit'air2,782070
2017/02,Crit'air2,142297
2017/03,Crit'air2,91373
2017/04,Crit'air2,44024
2017/05,Crit'air2,54968
2017/06,Crit'air2,93465
2017/07,Crit'air2,85284
2017/08,Crit'air2,32393
2017/09,Crit'air2,33285
2017/10,Crit'air2,36890
2017/11,Crit'air2,37416
2017/12,Crit'air2,29774
2017/01,Crit'air3,488663
2017/02,Crit'air3,99260
2017/03,Crit'air3,58928
2017/04,Crit'air3,25287
2017/05,Crit'air3,27566
2017/06,Crit'air3,46151
2017/07,Crit'air3,52105
2017/08,Crit'air3,15600
2017/09,Crit'air3,13338
2017/10,Crit'air3,12065
2017/11,Crit'air3,10458
2017/12,Crit'air3,7071
2017/01,Crit'air4,148716
2017/02,Crit'air4,34290
2017/03,Crit'air4,19658
2017/04,Crit'air4,8665
2017/05,Crit'air4,9754
2017/06,Crit'air4,16060
2017/07,Crit'air4,19762
2017/08,Crit'air4,5594
2017/09,Crit'air4,4323
2017/10,Crit'air4,3880
2017/11,Crit'air4,3411
2017/12,Crit'air4,2284
2017/01,Crit'air5,32413
2017/02,Crit'air5,8102
2017/03,Crit'air5,4611
2017/04,Crit'air5,1883
2017/05,Crit'air5,2116
2017/06,Crit'air5,3332
2017/07,Crit'air5,4214
2017/08,Crit'air5,1180
2017/09,Crit'air5,891
2017/10,Crit'air5,844
2017/11,Crit'air5,665
2017/12,Crit'air5,517
